name,category,tags,desc
Waterfront Access Plans,Environmental Sustainability,"geographic, location, map, cartography, park, ...","This is a polygon shapefile of parklands on the water's edge in New York City. Any portions of a park that are located upland (separated from water by the first upland street) are excluded. This shapefile complements the NYC_PAWS shapefile for mapping all open spaces on the water's edge in New York City. Most of the parks in this file are included in the New York City Department of City Planning's Selected Facilities and Program Sites database and are under the jurisdiction of NYC Department of Parks and Recreation, NYS Office of Parks, Recreation & Historic Preservation, or the National Park Service.  This shapefile was used to create the City Waterfront Interactive Maps at http://www.nyc.gov/html/dcp/html/cwp/cw.shtml ."
DSNY's Refuse and Recycling Disposal Networks,Government,"sanitation, services, community, district, refuse, ...","For each Community District, the name and address of the location where Refuse, Paper, and Metal/Glass/Plastic collected in that district are disposed of under normal operating circumstances.
Update Schedule: As required"
DCLA Cultural Organizations,Cultural Affairs,"culture, gallery, art, museum, museo, dance, ...",Listing of all Cultural Institutions in the Department of Cultural Affairs directory
City Day Care Center Locations,Community Service,"geographic, location, map, cartography, services, ...",Location of day care centers in the city with basic descriptive information.
Times Square Screens,Facilities and Structures,"times square alliance, times square, crossroads, ...",List of screens in the Times Square area with an address and description of their locations
311 Service Requests for 2006,Other,"311, 311 service requests, 2006, ...",311 Service Requests for 2006. This is historical data and will not be updated.
HPD,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
Yellow Medallion Taxicabs - Drivers,Transportation,"business, taxi, vehicle, transportation, license","Yellow Medallion Taxicabs are the official taxis of New York City. There are currently about 13,000 licensed taxicabs and they provide transportation for passengers via street hails. Medallion Taxicab Drivers face a unique set of requirements in order to be licensed to drive a yellow taxicab.
This list includes current yellow medallion driver names, TLC license number, and license expiration date."
Map of Water Fountains,Other,"parks, nature, recreation, location, map, ...",GIS Map of Water Fountains in New York City Department of Parks & Recreation properties.
Recycling Diversion and Capture Rates,Environmental Sustainability,"sanitation, dsny, refuse, recycle, recycling, ...","For each Community District, its Recycling Diversion rate (percentage of total municipal solid waste collected by the Department of Sanitation (DSNY that is disposed of by recycling) and Capture Rate (% of total Paper or Metal/Glass/Plastic in the waste stream that is disposed of by recycling)."
alternate side parking signs,Transportation,"parking, sign, regulation, car, automobile, ...","The Parking Regulations are drawn from DOT’s traffic sign database, STATUS, which is used by DOT in managing its inventory of over one million traffic signs in New York City. The database keeps track of the description, location and installation dates for DOT traffic signs. The Locations and Signs files need to be used in combination. The data in files can be linked, to find an applicable regulation, using the 'StatusOrderNumber' value. This process is automated at our  DOT Parking Regulation website: http://a841-dotvweb01.nyc.gov/ParkingRegs/ViewController/LocationValidation.aspx"
Zoning GIS Data: ESRI Shape file,Government,"zoning, geographic, location, map, cartography, ...","A data set which includes features representing the city's zoning districts, commercial overlay districts, special purpose districts and approximate locations for restrictive/environmental declarations.   BYTES of the BIG APPLE"
Annualized Rolling Sales Update,Property,"department of finance, finance, dof, money, 2003, ...","Sale prices of properties in a five borough from 2003-2009.  The files include neighborhood, building type, square footage, and other data."
Street Centerline,Transportation,"geographic, location, map, cartography, ...","Planimetric basemap line layer containing the street centerline. (roads, alley and interior park paths`.)"
Map of Playgrounds,Facilities and Structures,"park, parks, nature, recreation, location, map, ...",GIS Map of Playgrounds in New York City Department of Parks & Recreation properties.
Times Square Hotels,Business and Economic,"times square alliance, times square, crossroads, ...","Directory of hotels in the Times Square area

Update schedule: As required"
"Property Valuation and Assessment data Tax Classes 2,3,4",Property,"finance, property, tax, value, valuation, assess, ...","Property valuation and assessment data (Expanded Tax Classes 2,3,4 Assessed Value)"
